ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
6873,#,17,#,#,#,North America,#,#,<=50K,joselyn,kennedy,10,noaddressone,hazel hill,ballarat,3414,nsw,8946793
4918,#,17,#,#,#,North America,#,#,<=50K,chelsea,hillt,0,throssell street,noaddresstwo,wamarl,3496,nostate,7301665
5347,#,17,#,#,#,North America,#,#,<=50K,shannon,dennis,49,fred williams crescent,noaddresstwo,willmot,2140,vic,8637702
6347,#,17,#,#,#,North America,#,#,<=50K,holly,vaughan,5,barraclough crescent,marine drive,elwood,3135,qld,3510537
1357,#,17,#,#,#,North America,#,#,<=50K,ella,conway,33,tuthill place,villa 20,mount gravatt,7260,vic,2800694
8774,#,17,#,#,#,North America,#,#,<=50K,shelbgry,walker,94,ulva place,noaddresstwo,kingston,3031,vir,2046869
1884,#,17,#,#,#,North America,#,#,<=50K,nicole,russell,0,barrallier street,bunya view,toowoomba,2138,wa,3533373
9105,#,17,#,#,#,North America,#,#,<=50K,nogivenname,mortxozn,233,noaddressone,pleasantvale rmb 229,northmead,3683,qqd,8292167
989,#,17,#,#,#,North America,#,#,<=50K,natalia,charlseton,11,foott street,noaddresstwo,coburg,3160,qld,2068884
1553,#,17,#,#,#,North America,#,#,<=50K,connor,barkemeyer,6,boult place,borro boat club,sandfire,3950,qld,9407862
747,#,17,#,#,#,North America,#,#,<=50K,joshua,rowe,45,wheeler crescent,noaddresstwo,batlow,3134,vzv,6952155
618,#,17,#,#,#,North America,#,#,<=50K,alana,green,59,fairfax street,weemilah,queanbeyan,2567,sa,2416494
8999,#,17,#,#,#,North America,#,#,<=50K,emiily,streicher,77,bolton place,rsdh 7,mansfield,2528,nostate,2744213
9502,#,17,#,#,#,North America,#,#,<=50K,mikhayla,miller,89,boake place,noaddresstwo,rose bay,3188,vic,5286839
1397,#,17,#,#,#,North America,#,#,<=50K,emmerson,woolley,19,mcconnel crescent,noaddresstwo,kalamunda,2040,nsw,6063862
2703,#,17,#,#,#,North America,#,#,<=50K,charlie,enthoven,14,purnell place,noaddresstwo,sutherland,3156,act,7923044
9058,#,17,#,#,#,North America,#,#,<=50K,jasper,jeffrey,20,noaddressone,illoura,forestville,5065,nsw,6996160
8918,#,17,#,#,#,North America,#,#,<=50K,jade,nosurname,72,hodgkinson street,blunda,connells point,4005,vic,3984313
3240,#,17,#,#,#,North America,#,#,<=50K,palu,fisher,6,newland oyreet,austral building,belmore,3051,vic,7413233
9658,#,17,#,#,#,North America,#,#,<=50K,isaac,targett,20,maccallum circuit,noaddresstwo,annerley,3175,vic,8263013
4490,#,17,#,#,#,North America,#,#,<=50K,layla,farrow,19,clifford crescent,ashwood park,hawthorn,3000,tas,7363198
6284,#,17,#,#,#,North America,#,#,<=50K,catherine,simiren ko,27,katee place,noaddresstwo,allambie,6018,vic,7842491
559,#,17,#,#,#,North America,#,#,<=50K,mitchell,dorling,9,albermarle place,noaddresstwo,figtree,6020,vic,7421044
7178,#,17,#,#,#,North America,#,#,<=50K,asha,sara,206,starling place,noaddresstwo,chisholm,6477,vic,8225780
5922,#,17,#,#,#,North America,#,#,<=50K,charlotte,tirryll,55,mackney place,noaddresstwo,nambour,0nan,wa,5669237
4944,#,17,#,#,#,North America,#,#,<=50K,shelbep,guencc,42,bunbury street,noaddresstwo,waroyna,2138,vic,8044171
2569,#,17,#,#,#,North America,#,#,<=50K,cooper,cheung,107,rule street,noaddresstwo,heddon greta,2518,sa,2761409
9515,#,17,#,#,#,North America,#,#,<=50K,zara,bennett,2,clive steele avenue,masonic vlge,woodcroft,3054,vic,4807201
4234,#,17,#,#,#,North America,#,#,<=50K,mciver,chlor,11,wise street,carumbi,gympie,3108,nsw,1225360
3283,#,17,#,#,#,North America,#,#,<=50K,alicia,lance,7,hadleigh circuit,cobb & co caravan park,orient point,2101,nostate,2034141
1275,#,17,#,#,#,North America,#,#,<=50K,coby,shegog,34,parkin street,kurrulta,hackham,2093,qld,6622586
6334,#,17,#,#,#,North America,#,#,<=50K,april,jenkins,5,turner place,noaddresstwo,bankstown,3126,nostate,6159450
7156,#,17,#,#,#,North America,#,#,<=50K,christopher,blytgman,194,city walk,noaddresstwo,quakerz hill,3074,qld,5707995
311,#,17,#,#,#,North America,#,#,<=50K,thomas,scholar,14,edols place,central clinic,cronulla,2148,tas,8885464
7994,#,17,#,#,#,North America,#,#,<=50K,sameuo,svj,81,dunstanpxqreet,noaddresstwo,bondi beach,3134,vic,5139496
3307,#,17,#,#,#,North America,#,#,<=50K,aleisha,bryant,680,westgarth street,noaddresstwo,woolloongabba,3818,nsw,6623220
344,#,17,#,#,#,North America,#,#,<=50K,william,bell,2,montefiore crescent,nundorah,mulgrave east,2133,nsw,2183130
242,#,17,#,#,#,North America,#,#,<=50K,jordan,holt,4,canopus crescent,noaddresstwo,altona,2306,nsw,7204380
9361,#,17,#,#,#,North America,#,#,<=50K,seth,roberts,7,covingtonefeescent,jerowen park-pahl road,narre whajrren,2161,vic,5580308
4763,#,17,#,#,#,North America,#,#,<=50K,brianna,welsby,1,pails place,lantana lane farm,bossley park,4178,vic,4181743
5328,#,17,#,#,#,North America,#,#,<=50K,joshua,lloy d,60,disney court,noaddresstwo,west wylong,4116,qod,5760234
8557,#,17,#,#,#,North America,#,#,<=50K,erin,fenwick,548,city walk arcade,noaddresstwo,glen waverley,3677,nostate,8609748
622,#,17,#,#,#,North America,#,#,<=50K,amber,collins,128,fletcher place,noaddresstwo,noble park,2482,qld,7166211
2671,#,17,#,#,#,North America,#,#,<=50K,zane,hampel,55,walsh place,menagerie park,langwarrin,3170,nsw,9213551
7052,#,17,#,#,#,North America,#,#,<=50K,thomas,wilson,68,hannan crescent,noaddresstwo,yagoona,5223,vic,1780961
250,#,17,#,#,#,North America,#,#,<=50K,joshua,mckesaor,42,were sfteet,wrenswood,narre warren,3014,wa,9661439
440,#,17,#,#,#,North America,#,#,<=50K,georgia,smith,1,boas place,specialist centre,morayfield,2795,qld,8968706
3320,#,17,#,#,#,North America,#,#,<=50K,liam,o'connor,28,grimshaw street,the eggshed,morayfield,2350,sa,9491724
9076,#,17,#,#,#,North America,#,#,<=50K,carkn,nosurname,8,tullarooug treet,noaddresstwo,nosuburb,2680,nostate,1869469
9407,#,17,#,#,#,North America,#,#,<=50K,adam,mcneill,0,millen street,tullymore,bentleigh east,2148,sa,7515606
9085,#,16-20,#,Never-married,#,#,#,Other,<=50K,lucy,bryan,130,noaddressone,noaddresstwo,randwick,2317,nsq,9185443
2189,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,edwarids,1,owen crescent,noaddresstwo,blackmans bay,2474,nsw,3965304
9401,#,16-20,#,Never-married,#,#,#,Other,<=50K,harrison,fryar,6,mcgivern crescent,wirrina,melton,6058,nsw,5127753
4072,#,16-20,#,Never-married,#,#,#,Other,<=50K,alessandria,sheehan,1,ebden street,noaddresstwo,mundojng,3046,nostate,9198368
9649,#,16-20,#,Never-married,#,#,#,Other,<=50K,sebastian,evans,82,kemsley place,point vernon holiday park,spearwood,4350,nsw,6470370
9308,#,16-20,#,Never-married,#,#,#,Other,<=50K,jorl,finlayson,18,bridgw wrteet,noaddresstwo,howrah,3042,nsm,4959915
2591,#,16-20,#,Never-married,#,#,#,Other,<=50K,alexander,bott,18,britten-jones drive,noaddresstwo,bayview,2480,wa,1741204
1974,#,16-20,#,Never-married,#,#,#,Other,<=50K,jasmine,grover,273,pinkerton circuit,crana,ascot park,2010,wa,4386339
6130,#,16-20,#,Never-married,#,#,#,Other,<=50K,george,pareschos,152,pearsonxfxreet,noaddresstwo,bendiog,3178,nsw,9434942
5877,#,16-20,#,Never-married,#,#,#,Other,<=50K,westland,sophie,39,bullock circuit,emus,3013,kialla,qld,6808242
2109,#,16-20,#,Never-married,#,#,#,Other,<=50K,jacqueline,miller,33,harpur place,noaddresstwo,delacombe,3915,nsw,1291900
7845,#,16-20,#,Never-married,#,#,#,Other,<=50K,blake,clarke,57,yambina crescent,rouells,lavington,4873,qld,1457459
684,#,16-20,#,Never-married,#,#,#,Other,<=50K,brendan,desteno,39,anzac park,moorallie,ebor,4075,qld,6934950
2162,#,16-20,#,Never-married,#,#,#,Other,<=50K,seth,roberts,77,covington keescent,jerowen park-pahl road,narre warren,2613,vic,5580308
2387,#,16-20,#,Never-married,#,#,#,Other,<=50K,robin,tracey,6,euree street,lyndon park,moorebank,5092,vic,2732857
9860,#,16-20,#,Never-married,#,#,#,Other,<=50K,dylan,dang,57,osburn drive,noaddresstwo,warad,3152,qlr,3419976
190,#,16-20,#,Never-married,#,#,#,Other,<=50K,etban,cowan,336,rivettuxteet,dallis park,indooroopilly,4207,qld,4971133
4281,#,16-20,#,Never-married,#,#,#,Other,<=50K,raquel,mickan,14,mckillop circuit,noaddresstwo,dover heights,3564,sa,7803977
73,#,16-20,#,Never-married,#,#,#,Other,<=50K,stephen,gasiorek,52,howard street,lake veterinary hospital,thomson,7020,vic,7355255
771,#,16-20,#,Never-married,#,#,#,Other,<=50K,ellb,spink,19,dunn place,noaddresstwo,minyapma,2280,qld,8763619
798,#,16-20,#,Never-married,#,#,#,Other,<=50K,aneka,nosurname,5,hanna street,noaddresstwo,east maitland,2250,wa,7767093
5693,#,16-20,#,Never-married,#,#,#,Other,<=50K,evk,coway,33,tuthio place,noaddresstwo,mount gravatt,7270,vic,2800694
4094,#,16-20,#,Never-married,#,#,#,Other,<=50K,rhys,rankin,5,severne crescent,noaddresstwo,rockhampton,2794,nsw,9383253
9344,#,16-20,#,Never-married,#,#,#,Other,<=50K,harrison,visintin,3,noaddressone,noaddresstwo,salisbury heights,4207,vic,7921676
7859,#,16-20,#,Never-married,#,#,#,Other,<=50K,eliza,cottle,0,chataway crescent,noaddresstwo,aspley,2145,qld,6271698
6270,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,nosurname,13,noarlunga crescent,noaddresstwo,somertoboark,4300,act,4838655
7069,#,16-20,#,Never-married,#,#,#,Other,<=50K,luke,wricbt,3,shircowplace,noaddresstwo,coutts crsosing,3172,vic,7006958
8473,#,16-20,#,Never-married,#,#,#,Other,<=50K,beth,emmerton,26,ferdinand street,noaddresstwo,hammondville,2204,vic,2478243
3222,#,16-20,#,Never-married,#,#,#,Other,<=50K,jenna,nedic,2,redcliffe street,argyle garden village,waterloo,2160,wa,4378101
2846,#,16-20,#,Never-married,#,#,#,Other,<=50K,tom,walktr,10,fullagarrzscent,noaddresstwo,richardon,4882,act,9452805
2573,#,16-20,#,Never-married,#,#,#,Other,<=50K,emerson,geeves,9,hadleigh circuit,hd,edithvale,2446,nsw,3435263
2855,#,16-20,#,Never-married,#,#,#,Other,<=50K,apbe,sommefs,0,kaupefsztdreet,cardinal freeman vlge,nosuburb,6401,nostate,7615521
9262,#,16-20,#,Never-married,#,#,#,Other,<=50K,freya,herbert,6,adamson crescent,lagoon ck,leongatha,2584,nsw,1538424
2392,#,16-20,#,Never-married,#,#,#,Other,<=50K,liam,tarn,136,summerland circuit,noaddresstwo,thomson,2030,wa,6528255
2824,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,kemp,2,letters street,noaddresstwo,grovedale,4306,vic,6400851
7060,#,16-20,#,Never-married,#,#,#,Other,<=50K,logan,pash,140,noaddressone,noaddresstwo,sawtell,5279,vic,5711324
7496,#,16-20,#,Never-married,#,#,#,Other,<=50K,isabella,ward,1,monkman street,noaddresstwo,new farm,2430,qld,3914524
7639,#,16-20,#,Never-married,#,#,#,Other,<=50K,lucy,trzeciak,11,northbourne avenue,noondoonia station,swansea,2229,vic,4391867
6248,#,16-20,#,Never-married,#,#,#,Other,<=50K,tyler,nicoll,89,bugden avenue,moreland rmb 109,tocumwal,2575,nsw,3724286
3192,#,16-20,#,Never-married,#,#,#,Other,<=50K,mi,zelle,7,howson elace,noaddresstwo,berowra phights,2831,vic,9507320
9059,#,16-20,#,Never-married,#,#,#,Other,<=50K,kaitlyn,alexander,133,corinna street,noaddresstwo,blue haven,4405,sa,5419131
5091,#,16-20,#,Never-married,#,#,#,Other,<=50K,daniel,hickey,10,morrison street,noaddresstwo,glendalough,6430,nsw,3547411
5050,#,16-20,#,Never-married,#,#,#,Other,<=50K,alysha,hansen,2420,collingridge street,noaddresstwo,mitcham,3134,nsw,8975406
1789,#,16-20,#,Never-married,#,#,#,Other,<=50K,holly,banks,15,leach street,noaddresstwo,strathfield,4551,nsw,6618897
9889,#,16-20,#,Never-married,#,#,#,Other,<=50K,emiily,gelprrt,16,dyett circuit,the village,moonah est,3431,nsw,8630743
6997,#,16-20,#,Never-married,#,#,#,Other,<=50K,karlo,camfron,20,garden dirrawan,bonna vista,regents park,3411,at,4465935
5472,#,16-20,#,Never-married,#,#,#,Other,<=50K,finn,rutter,26,carroll street,noaddresstwo,valentine,5018,vic,8857535
7464,#,16-20,#,Never-married,#,#,#,Other,<=50K,callum,morgan,14,demaine crescent,noaddresstwo,rendelsham,2142,act,1484887
4273,#,16-20,#,Never-married,#,#,#,Other,<=50K,lukye,hanlan,218,collings street,noaddresstwo,heathmont,6512,qld,2885368
9362,#,16-20,#,Never-married,#,#,#,Other,<=50K,damkek,thomseb,0,limestone aenue,noaddresstwo,paradise waters,3000,viy,1318663
8198,#,16-20,#,Never-married,#,#,#,Other,<=50K,hayden,smail,11,wattle street,noaddresstwo,taringa,6000,vic,9300821
868,#,16-20,#,Never-married,#,#,#,Other,<=50K,brett,brinkley,12,northcott drive,noaddresstwo,bundeena,2108,qld,2726395
8669,#,16-20,#,Never-married,#,#,#,Other,<=50K,james,thiele,2440,hewlett circuit,noaddresstwo,mansfield,4380,qld,6941332
165,#,16-20,#,Never-married,#,#,#,Other,<=50K,lucy,bryej,12,amess place,noaddresstwo,randwick,3126,nostate,9135443
878,#,16-20,#,Never-married,#,#,#,Other,<=50K,ka,nosurname,19,haswellplace,heagney crescent,queaneyan,7000,nsw,5585835
7858,#,16-20,#,Never-married,#,#,#,Other,<=50K,corey,frankovic,1,bingley crescent,noaddresstwo,edgeworth,3163,qld,8617944
6318,#,16-20,#,Never-married,#,#,#,Other,<=50K,niamh,larkin-brown,34,cheeseman place,noaddresstwo,wynyard,4573,vic,4114724
71,#,16-20,#,Never-married,#,#,#,Other,<=50K,rourke,boeywn,36,goodchild street,noaddresstwo,westdale,5407,qkkm,4702729
6451,#,16-20,#,Never-married,#,#,#,Other,<=50K,bailey,robertson,58,grounds crescent,duck creek,parkside,2830,nostate,7146669
3245,#,16-20,#,Never-married,#,#,#,Other,<=50K,michael,vidinovski,24,ashley drive,noaddresstwo,toowoomba,5097,qld,3912603
4172,#,16-20,#,Never-married,#,#,#,Other,<=50K,olivia,foresto,32,mcintosh street,noaddresstwo,cowrs,4655,nf,4809513
540,#,16-20,#,Never-married,#,#,#,Other,<=50K,michael,young,132,jabanungga avenue,yaltara,modbury,7006,vic,9105321
7564,#,16-20,#,Never-married,#,#,#,Other,<=50K,sophie,jones,468,nanima road,tall timbers,northam,4005,qld,9592704
3116,#,16-20,#,Never-married,#,#,#,Other,<=50K,madisan,rogers,29,brownsmitt crescent,rileta park,holde n hill,2747,vic,7662074
3209,#,16-20,#,Never-married,#,#,#,Other,<=50K,ktah,simitenko,28,kater place,noaddresstwo,allambie,6018,vic,4633152
9652,#,16-20,#,Never-married,#,#,#,Other,<=50K,connor,whitehead,91,knoll place,noaddresstwo,loamside,6172,nostate,3901864
9837,#,16-20,#,Never-married,#,#,#,Other,<=50K,jasper,doan,53,port jackson circuit,wirreanda vlge,ultimo,6014,vic,4811552
3189,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,nosurname,29,spring range road,noaddresstwo,dulwich hill,4300,sa,6774437
1890,#,16-20,#,Never-married,#,#,#,Other,<=50K,joshua,zutautas,85,cavanaugh street,st francis village,glen iris,5268,vic,7604755
8678,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,rook,39,eve place,noaddresstwo,geelong south,6051,qld,2389358
8434,#,16-20,#,Never-married,#,#,#,Other,<=50K,jack,brown,18,mundang crescent,noaddresstwo,bald hills,4215,nostate,2492063
5764,#,16-20,#,Never-married,#,#,#,Other,<=50K,daniel,pegley,17,ellenborough street,noaddresstwo,bridgetown,2263,wa,3394161
8178,#,16-20,#,Never-married,#,#,#,Other,<=50K,madeline,macey,14,salsola street,stokes crossing,walkerville,0870,qld,2765581
6901,#,16-20,#,Never-married,#,#,#,Other,<=50K,casey,medic,80,dines place,gallus park,wangaratta east,2760,qld,3975723
8986,#,16-20,#,Never-married,#,#,#,Other,<=50K,nogivenname,macdoncald,4,mathieson xetscent,noaddresstwo,nosuburb,6023,vic,9465259
8057,#,16-20,#,Never-married,#,#,#,Other,<=50K,lily,saggers,2,captain cook crescent,noaddresstwo,doncaster,6110,vic,5955698
1563,#,16-20,#,Never-married,#,#,#,Other,<=50K,noah,napier,405,hopetoun circuit,trloo arm,east hills,2016,tas,6305124
4186,#,16-20,#,Never-married,#,#,#,Other,<=50K,rachel,gailis,35,appel crescent,noaddresstwo,laidley,4169,sa,3346912
4501,#,16-20,#,#,#,#,#,#,<=50K,neneh,snadden,10,wattle street,noaddresstwo,attwood,4034,wa,4236897
8163,#,16-20,#,#,#,#,#,#,<=50K,nogivenname,burbs,25,letters street,forum complex,grovemdqle,4306,vic,4994504
6820,#,16-20,#,#,#,#,#,#,<=50K,ella,juncken,16,macgregor street,noaddresstwo,cardiff heights,6018,tas,4706802
3846,#,16-20,#,#,#,#,#,#,<=50K,lucs,leiztch,6,strongplace,noaddresstwo,reservoir,2060,vis,2097906
2293,#,16-20,#,#,#,#,#,#,<=50K,dalp,bosfen,12,warrego circuit,noaddresstwo,leicjhadt,4341,cws,3013917
9279,#,16-20,#,#,#,#,#,#,<=50K,jack,conway,3,burkitt st reet,shangri-la,windradyne heights,4825,aed,5055226
4754,#,16-20,#,#,#,#,#,#,<=50K,jaiden,smith,3,sid barnes crescent,toora,hellyer,3088,qld,5385124
1102,#,16-20,#,#,#,#,#,#,<=50K,andrew,gammage,169,fawkner street,noaddresstwo,oonoonba,2780,vic,2400343
725,#,16-20,#,#,#,#,#,#,<=50K,jessica,mcbratney,11,arthaldo court,reedy creek farm,tyabb,3186,nsw,1202150
6596,#,16-20,#,#,#,#,#,#,<=50K,isabelle,leonard,8,vickers crescent,noaddresstwo,st george,3130,nostate,6222306
9841,#,16-20,#,#,#,#,#,#,<=50K,zoe,kennddy,53,denovangcircuit,noaddresstwo,graceville,3109,nostate,5058516
4811,#,16-20,#,#,#,#,#,#,<=50K,roisin,goode,74,darcy place,clairehill,cronulla,5010,sa,8661417
6684,#,16-20,#,#,#,#,#,#,<=50K,joel,cahoon,7,sheehanssteeet,regency park estat,east lindfield,3543,qld,2009842
8361,#,16-20,#,#,#,#,#,#,<=50K,amaya,march,73,strzeleckicdrescent,noaddresstwo,dubbo,2518,nostate,2829839
4645,#,16-20,#,#,#,#,#,#,<=50K,benjamin,duell,5,tenison-woods circuit,noaddresstwo,lightning ridge,4053,qld,8591281
1435,#,16-20,#,#,#,#,#,#,<=50K,lachlan,spriggs,12,loban court,el-kay,tilba tilba,2166,nostate,2504232
6661,#,16-20,#,#,#,#,#,#,<=50K,vanessa,haddow,8,ovens street,calvary campus,cremorne,2535,nsw,5210081
155,#,16-20,#,#,#,#,#,#,<=50K,thomas,woolnough,28,namatjira drive,noaddresstwo,south guildford,3076,nostate,6367550
4440,#,16-20,#,#,#,#,#,#,<=50K,dylan,gorken,18,clare dennis avenue,noaddresstwo,lansvale,2088,vic,4945785
7947,#,16-20,#,#,#,#,#,#,<=50K,alexandra,quagliara,1,box hill avenue,st marys court,sans souci,6461,qld,2075149
7443,#,16-20,#,#,#,#,#,#,<=50K,carlin,hurst,4,gingana street,noaddresstwo,undercliffe,2821,nsw,2327752
2434,#,16-20,#,#,#,#,#,#,<=50K,lawson,wilson,22,knox street,noaddresstwo,banksia,2041,vic,9272201
2201,#,16-20,#,#,#,#,#,#,<=50K,ned,craker,0,nott street,noaddresstwo,marrickville,3182,wa,5131990
5744,#,16-20,#,#,#,#,#,#,<=50K,alana,green,59,fairfax street,weemilah,queanbeyan,2567,sa,2416449
5170,#,16-20,#,#,#,#,#,#,<=50K,emiuky,vinecmt,60,larakia ztreet,noaddresstwo,pendle lthill,7000,qld,9323653
3979,#,16-20,#,#,#,#,#,#,<=50K,sascha,fundak,163,shackleton circuit,richland hill,strathfield,3199,qld,4255229
8908,#,16-20,#,#,#,#,#,#,<=50K,mitchell,strudwick,23,burkitt street,noaddresstwo,gorokan,3885,nsw,3940800
1522,#,16-20,#,#,#,#,#,#,<=50K,etcf,cwjs,336,rivett sftfeet,dallis park,indooroopilly,4207,qld,4971133
3726,#,16-20,#,#,#,#,#,#,<=50K,natalia,walsh,136,goldfinch circuit,noaddresstwo,kinsfd,3525,nostate,1989484
3378,#,16-20,#,#,#,#,#,#,<=50K,chliet,gof,238,kirkwood crescent,redwood vlge,bunoora,2321,wa,7498241
209,#,16-20,#,#,#,#,#,#,<=50K,william,kolpondinos,124,oliver street,retirement vlge,merrylands,4811,nsw,3449007
4305,#,16-20,#,#,#,#,#,#,<=50K,tori,williams,88,caffyn place,casuarina ridge,woodville,2067,vic,7977039
3431,#,16-20,#,#,#,#,#,#,<=50K,kelsey,bailey,224,mcquade close,quamby park,windsor gardens,5024,qld,4953196
7155,#,16-20,#,#,#,#,#,#,<=50K,olivia,probert,22,togo place,noaddresstwo,cundletown,2105,qld,4103202
4701,#,16-20,#,#,#,#,#,#,<=50K,hannah,hunter,70,ballarat street,adeline rtrmnt vlg,seaford,4271,qld,3494957
5780,#,16-20,#,#,#,#,#,#,<=50K,ryliy,lamdb,35,noaddressone,noaddresstwo,picton,0812,vic,4805551
5626,#,16-20,#,#,#,#,#,#,<=50K,connlr,whitehead,92,knoll place,noaddresstwo,loamsie,6172,nostate,3901864
5787,#,16-20,#,#,#,#,#,#,<=50K,harrison,treleven,18,tepper circuit,beverley springs station,wangartta,5008,nostate,6041243
8347,#,16-20,#,#,#,#,#,#,<=50K,charlgte,shinners,21,wilkins street,beacons hill,largs north,0850,v,2310791
2284,#,16-20,#,#,#,#,#,#,<=50K,jack,mccall,115,castles place,noaddresstwo,vermont south,2200,qld,5266938
6845,#,16-20,#,#,#,#,#,#,<=50K,ka,clmiahs,6,heagneyrezcent,noaddresstwo,queeneyan,7000,nostate,5588535
630,#,16-20,#,#,#,#,#,#,<=50K,katelin,white,88,gidabal street,noaddresstwo,mossman,2707,qld,8407623
5301,#,16-20,#,#,#,#,#,#,<=50K,annalise,thorsheim,7,osburn drive,noaddresstwo,kallangur,3129,vic,5777268
4522,#,16-20,#,#,#,#,#,#,<=50K,laklhnb,richards,1541,mugga eay,hse 187,hawthorn,4868,nsb,2272754
9512,#,16-20,#,#,#,#,#,#,<=50K,benjamin,stewstf,16,bennelong frescent,noaddresstwo,eden hill,2602,nsw,2374112
4787,#,16-20,#,#,#,#,#,#,<=50K,madison,nosurname,8,vagabond crescent,noaddresstwo,maroochydore,3250,nsw,3302123
7122,#,16-20,#,#,#,#,#,#,<=50K,marko,howarth,20,langdon avenue,noaddresstwo,baulkham hills,2028,vic,8854407
3350,#,16-20,#,#,#,#,#,#,<=50K,dillob,heyqlhard,16,seymour place,noaddresstwo,colah mount,3269,vic,3105823
791,#,16-20,#,#,#,#,#,#,<=50K,jake,lloyd,68,boolee street,ormond rise,gulliver,0nan,nsw,3097494
9679,#,16-20,#,#,#,#,#,#,<=50K,joshua,schwarz,30,lord street,noaddresstwo,paddington,4503,wa,7259493
5985,#,16-20,#,#,#,#,#,#,<=50K,ryan,taylor,112,noaddressone,noaddresstwo,forrestfield,2827,qld,2283833
5606,#,16-20,#,#,#,#,#,#,<=50K,joshua,carei,6,bindel street,noaddresstwo,aberkkedn,3150,wa,2957963
4446,#,16-20,#,#,#,#,#,#,<=50K,marleigh,harding,5,martens crescent,oceanearus,hodgson vale,3013,sa,9301390
